uniqueID;flowDir;topLeft;bottomRight
0;[0.000000,1.000000];[180,40];[220,0]
1;[0.000000,-1.000000];[220,40];[260,80]
2;[0.000000,1.000000];[180,80];[220,180]
3;[0.000000,-1.000000];[220,80];[260,180]
4;[0.000000,1.000000];[180,180];[220,220]
5;[0.707107,-0.707107];[220,180];[260,220]
6;[-0.707107,0.707107];[180,220];[220,260]
7;[-1.000000,0.000000];[220,220];[260,260]
8;[1.000000,0.000000];[260,180];[480,220]
9;[-1.000000,0.000000];[260,220];[480,260]
10;[1.000000,0.000000];[480,180];[520,220]
11;[0.707107,-0.707107];[520,180];[560,220]
12;[-0.707107,0.707107];[480,220];[520,260]
13;[0.000000,-1.000000];[520,220];[560,260]
14;[0.000000,1.000000];[480,260];[520,440]
15;[0.000000,-1.000000];[520,260];[560,440]
16;[0.000000,1.000000];[480,440];[520,480]
17;[0.000000,-1.000000];[520,440];[560,440]
18;[0.000000,1.000000];[480,480];[520,520]
19;[0.000000,-1.000000];[520,480];[560,520]
20;[1.000000,0.000000];[260,440];[480,480]
21;[-1.000000,0.000000];[260,480];[480,520]
22;[0.707107,0.707107];[180,440];[220,480]
23;[1.000000,0.000000];[220,440];[260,480]
24;[0.000000,1.000000];[180,480];[220,520]
25;[-0.707107,-0.707107];[220,480];[260,520]
26;[0.000000,1.000000];[180,520];[220,740]
27;[0.000000,-1.000000];[220,520];[260,740]
28;[0.000000,1.000000];[180,740];[220,780]
29;[0.000000,-1.000000];[220,740];[260,780]
30;[0.000000,1.000000];[180,780];[220,820]
31;[0.000000,-1.000000];[220,780];[260,820]
32;[1.000000,0.000000];[260,740];[480,780]
33;[-1.000000,0.000000];[260,780];[480,820]
34;[0.000000,1.000000];[480,520];[520,740]
35;[0.000000,-1.000000];[520,520];[560,740]
36;[0.707107,0.707107];[480,740];[520,780]
37;[0.000000,-1.000000];[520,740];[560,780]
38;[-1.000000,0.000000];[480,780];[520,820]
39;[-0.707107,-0.707107];[520,780];[560,820]
40;[1.000000,0.000000];[560,440];[740,480]
41;[-1.000000,0.000000];[560,480];[740,520]
42;[1.000000,0.000000];[740,440];[780,480]
43;[0.707107,-0.707107];[780,440];[820,480]
44;[-0.707107,0.707107];[740,480];[780,520]
45;[0.000000,-1.000000];[780,480];[820,520]
46;[0.000000,1.000000];[740,520];[780,740]
47;[0.000000,-1.000000];[780,520];[820,740]
48;[0.000000,1.000000];[740,740];[780,780]
49;[0.707107,-0.707107];[780,740];[820,780]
50;[-0.707107,0.707107];[740,780];[780,820]
51;[-1.000000,0.000000];[780,780];[820,820]
52;[1.000000,0.000000];[820,740];[920,780]
53;[-1.000000,0.000000];[820,780];[920,820]
54;[1.000000,0.000000];[920,740];[960,780]
55;[-1.000000,0.000000];[920,780];[960,820]
56;[1.000000,0.000000];[100,740];[180,780]
57;[-1.000000,0.000000];[100,780];[180,820]
58;[1.000000,0.000000];[60,740];[100,780]
59;[-1.000000,0.000000];[60,780];[100,820]
60;[0.000000,1.000000];[180,820];[220,900]
61;[0.000000,-1.000000];[220,820];[260,900]
62;[0.000000,1.000000];[180,900];[220,940]
63;[0.000000,-1.000000];[220,900];[260,940]
